"NaN" "NaN" "NaN" "NaN" "1800" "1551" "1403" "1399" "1193" "1076" "1029" "1000" "942" "923" "881" "784" "785" "889" "839" "773" "798" "811" "829" "789" "819" "792" "748" "726" "716" "780" "774" "804" "776" "645" "633" "706" "648" "NaN" "NaN" "NaN"
"NaN" "NaN" "NaN" "NaN" "1604" "1507" "1319" "1303" "1137" "1060" "1059" "1020" "945" "857" "850" "793" "772" "851" "803" "766" "787" "785" "786" "776" "799" "767" "721" "739" "741" "752" "742" "750" "759" "713" "775" "NaN" "NaN" "NaN" "NaN" "NaN"
"NaN" "NaN" "NaN" "NaN" "1539" "1474" "1366" "1275" "1109" "1046" "1009" "994" "952" "894" "899" "816" "779" "813" "804" "781" "841" "857" "778" "770" "782" "730" "719" "736" "729" "737" "747" "749" "721" "766" "765" "NaN" "NaN" "NaN" "NaN" "NaN"
"NaN" "NaN" "NaN" "NaN" "1475" "1394" "1390" "1283" "1112" "1042" "991" "956" "955" "928" "915" "847" "807" "776" "837" "846" "904" "864" "762" "804" "775" "735" "723" "742" "729" "730" "753" "755" "731" "788" "756" "774" "NaN" "NaN" "NaN" "NaN"
"NaN" "NaN" "NaN" "NaN" "1518" "1358" "1276" "1191" "1084" "1047" "1003" "966" "936" "902" "858" "815" "791" "779" "853" "817" "809" "741" "800" "804" "765" "736" "732" "740" "721" "724" "755" "754" "732" "735" "762" "770" "NaN" "NaN" "NaN" "NaN"
"NaN" "NaN" "NaN" "1575" "1418" "1360" "1281" "1180" "1124" "1075" "1017" "971" "933" "895" "880" "879" "832" "766" "823" "807" "738" "739" "772" "777" "770" "751" "735" "737" "729" "747" "759" "746" "765" "766" "782" "812" "840" "NaN" "NaN" "NaN"
"NaN" "NaN" "1758" "1570" "1361" "1326" "1259" "1203" "1119" "1048" "1012" "976" "938" "909" "922" "911" "869" "777" "820" "794" "814" "854" "777" "755" "771" "745" "733" "749" "756" "755" "742" "837" "857" "877" "833" "835" "885" "NaN" "NaN" "NaN"
"NaN" "NaN" "NaN" "1378" "1430" "1323" "1213" "1123" "1056" "1002" "994" "962" "921" "894" "871" "854" "818" "793" "824" "788" "860" "887" "823" "773" "767" "774" "769" "823" "822" "790" "842" "952" "969" "985" "882" "820" "NaN" "NaN" "NaN" "NaN"
"NaN" "NaN" "NaN" "1701" "1395" "1351" "1267" "1206" "1224" "1089" "1023" "959" "908" "896" "898" "856" "805" "760" "778" "791" "853" "847" "788" "780" "824" "829" "815" "860" "866" "917" "887" "899" "911" "951" "839" "845" "NaN" "NaN" "NaN" "NaN"
"NaN" "NaN" "NaN" "1525" "1593" "1438" "1326" "1243" "1239" "1144" "1038" "952" "918" "906" "907" "860" "825" "775" "747" "780" "834" "824" "786" "815" "883" "880" "850" "845" "926" "965" "931" "897" "874" "956" "831" "892" "NaN" "NaN" "NaN" "NaN"
