NaN NaN 10.8 10.4 NaN NaN NaN NaN NaN NaN NaN 10.7 10.9 11 11 10.6 10.4 10.3 10.3 10.4 10.6 10.7 10.7 10.6 10.8 10.6 9.9 9.7 9.5 9.7 9.8 9.8 9.5 9.7 9.8 9.9 9.8 9.8 9.5 9.2 8.7 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 10.7 10.8 10.7 10.8 10.4 10.5 10.5 10.6 10.6 10.6 10.5 10.6 10.8 10.8 10.6 10.4 10 9.7 9.7 9.9 9.6 9.7 9.9 9.8 9.8 9.8 10 9.7 9.3 9.1 9.2 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 10.5 10.4 10.6 10.7 10.4 10.3 10.4 10.5 10.6 10.8 10.8 10.6 10.5 10.5 10.3 10.2 9.8 9.8 9.8 10.1 9.9 9.8 9.7 9.9 9.8 9.5 9 8.9 8.7 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 10.3 10.2 10.4 10.3 10.2 10.4 10.5 10.5 10.6 10.7 10.9 10.8 10.6 10.4 10.1 9.7 9.6 9.5 9.7 10 10.2 10.1 10 10.1 10.1 9.8 9.6 9.3 9 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 10.3 10 10.1 10.1 10.1 10.2 10.4 10.4 10.5 10.5 10.8 10.7 10.6 10.4 10.2 10 9.5 9.7 9.8 9.8 9.9 10.2 10.2 10.4 10.3 9.9 10 9.6 9.7 9.7 9.2 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 10.2 10 10.1 10.2 10.2 10.2 10.3 10.3 10.4 10.5 10.6 10.7 10.5 10.3 10.2 10.2 9.7 9.7 9.7 9.9 10.1 10.2 10.1 10.6 10.3 10.3 10.2 10 9.9 9.9 9.7 9.9 9.5 9.2 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 10.1 10 10.1 10.3 10.3 10.3 10.2 10.3 10.4 10.6 10.6 10.5 10.4 10.4 10.3 9.9 9.8 9.8 9.8 10.1 10.4 10.5 10.4 10.2 10.3 10.2 10.2 10.2 10.3 10.1 9.7 9.6 8.6 8.3 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 10.1 10.1 10.1 10.2 10.3 10.4 10.2 10.4 10.4 10.1 10.2 10.3 10 10.1 10 10 9.8 10 10 10.2 10.4 10.6 10.1 10 9.6 9.7 9.4 9.7 9.5 9.4 9.5 8.9 8.3 6.6 NaN NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 10.1 10.2 10.3 9.9 9.9 10.3 10.3 9.8 9.7 9.9 10 10.2 10.2 10.2 10.2 10 9.9 10.1 10.3 10.5 10.7 10.6 10.4 10.3 9.9 9.5 10 9.8 8.5 8.6 9.1 9.1 8.5 8.4 8.3 NaN NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 10.3 10.3 10.1 9.7 10 10.1 9.9 9.8 9.9 10.1 10.3 10.1 10.1 10.3 10.4 10.2 10.3 10.4 10.6 10.6 10.8 10.9 10.9 10.9 10.9 10.8 10.6 10.2 8.9 9 8.1 8.9 8.8 8 7.4 NaN NaN NaN NaN NaN NaN
